Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,Action,84,8.3,M
2002 FIFA World Cup,GC,2002,Sports,78,7.7,E
The Lord of the Rings: The Battle for Middle-Earth II,X360,2006,Strategy,79,7.5,T
LEGO The Hobbit,PC,2014,Action,68,,E10+
Need for Speed Carbon,PC,2006,Racing,78,7.2,E10+
Colin McRae Rally 2005,XB,2004,Racing,83,7.5,E
Venus & Braves: Majo to Megami to Horobi no Yogen,PSP,2011,Role-Playing,nan,,
Zoop,PS,1995,Puzzle,nan,,
Saiyuki: Journey West,PS,1999,Strategy,73,7.1,E
Powerful Golf,DS,2011,Sports,nan,,
Rock Band Country Track Pack 2,X360,2011,Misc,nan,tbd,E10+
Detective Conan: Marionette Symphony,3DS,2013,Adventure,nan,,
Utawarerumono: Itsuwari no Kamen,PS3,2015,Adventure,nan,,
American Chopper 2: Full Throttle,XB,2005,Racing,nan,tbd,T
Amnesia Crowd,PSP,2013,Misc,nan,,
Pachitte Chonmage Tatsujin 15: Pachinko Fuyu no Sonata 2,PS2,2008,Misc,nan,,
Monster Hunter Frontier Online,PS3,nan,Role-Playing,nan,,
MTX Mototrax,PSP,2006,Racing,67,tbd,E
VR Soccer '96,PS,1996,Sports,nan,,
Ribbit King,GC,2003,Sports,60,tbd,E
Diabolik Lovers,PSP,2012,Adventure,nan,,
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,nan,,
Summoner: A Goddess Reborn,GC,2003,Role-Playing,72,tbd,T
Pirates vs Ninja Dodgeball,Wii,2009,Sports,nan,,
Secret Service,X360,2008,Action,nan,5.5,T
Noddy in Toyland,DS,2011,Misc,nan,,
Empire Earth,PC,2001,Strategy,81,8.2,T
Yu-Gi-Oh! World Championship 2007,DS,2007,Strategy,nan,,
DuckTales: Remastered,PS3,2013,Action,75,7.4,E
E.X. Troopers,PS3,2012,Shooter,nan,,
Worms Reloaded,PC,2010,Strategy,79,6.8,E10+
Kiniro no Corda 2 Encore,PS2,2007,Role-Playing,nan,,
M&M's Adventure,DS,2008,Adventure,nan,,
ESPN Great Outdoor Games Bass 2002,GBA,2001,Sports,57,tbd,E
Soul Eater: Plot of Medusa,DS,2008,Action,nan,,
StarCraft,PC,1998,Strategy,88,9.1,T
Gaist Crusher,3DS,2013,Action,nan,,
World Championship Pool 2004,PS2,2004,Sports,60,6.7,E
Punch King,GBA,2002,Fighting,58,tbd,E
V-Rally 3,GBA,2002,Racing,82,tbd,E
B-Boy,PSP,2006,Misc,50,7.8,T
Kakuto Chojin,XB,2002,Fighting,46,7.2,T
Beyond Oasis,GEN,1993,Role-Playing,nan,,
Robotech: Invasion,XB,2004,Shooter,59,tbd,T
Rain (2013),PS3,2013,Adventure,nan,,
Wii de Asobu Chibi-Robo!,Wii,2009,Adventure,nan,,
Need for Speed Underground,PC,2003,Racing,82,8.3,E
Jewel Quest Mysteries,DS,2009,Puzzle,nan,tbd,E
Tokyo Ghoul: Jail,PSV,2015,Racing,nan,,
To Heart 2 DX Plus,PS3,2011,Adventure,nan,,
Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Strategy,nan,,
Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,PSP,2011,Adventure,nan,,
Frogger: Ancient Shadow,GC,2005,Platform,54,tbd,E
Naruto: Uzumaki Chronicles 2 (JP sales),PS2,2006,Action,nan,,
Moon,DS,2009,Adventure,71,7.4,T
Snoopy vs the Red Baron,PSP,2006,Adventure,76,7.8,E10+
Pet Vet: Down Under,DS,2009,Simulation,nan,,E
Virtua Tennis 3,PSP,2007,Sports,79,7.7,E
Raze's Hell,XB,2005,Shooter,71,8.1,M
Far Cry,PC,2004,Shooter,89,8.1,M
Gem Smashers,Wii,2011,Platform,nan,tbd,E
Shin Megami Tensei NINE,XB,2002,Role-Playing,nan,,
Magic Carpet,PS,1995,Shooter,nan,,
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,nan,,
Hoshigami: Ruining Blue Earth,PS,2001,Role-Playing,62,8.7,E
GunPey DS,DS,2006,Puzzle,70,tbd,E
Cabela's African Safari,PSP,2006,Sports,nan,tbd,T
Test Drive: Ferrari Legends,X360,2012,Racing,nan,,
Sushi Go-Round,Wii,2010,Simulation,nan,tbd,E
NightCaster II: Equinox,XB,2002,Action,46,7,T
Shin Hayarigami,PSV,2014,Adventure,nan,,
Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008,Role-Playing,nan,,
Arslan: The Warriors of Legend,PS3,2015,Action,nan,tbd,T
SD Gundam G Generation World,Wii,2011,Strategy,nan,,
Ship Simulator Extremes,PC,2010,Simulation,49,6.2,E
Winter Sports 2011,PS3,2011,Sports,nan,,
Time Crisis: Project Titan,PS,2001,Shooter,71,6.7,T
Ore-Sama Kingdom: Koi no Manga mo Debut o Mokushise! Doki Doki Love Lesson,DS,2011,Action,nan,,
Crusader: No Remorse,PS,1996,Adventure,nan,,
Billy the Wizard: Rocket Broomstick Racing,Wii,2007,Racing,nan,0.3,E
Ys: The Ark of Napishtim,PSP,2006,Role-Playing,64,7.3,E10+
Black & Bruised,GC,2003,Fighting,nan,,
Winter Sports 3: The Great Tournament,Wii,2010,Sports,nan,,
Pro Evolution Soccer 2017,XOne,2016,Sports,87,6.1,E
FIFA Soccer 10,PC,2009,Sports,72,3.8,E
Jewel Quest 5: The Sleepless Star,PC,2011,Action,nan,,
World Series of Poker: Tournament of Champions 2007 Edition,Wii,2006,Misc,nan,,
Tom Clancy's Rainbow Six: Lockdown,GC,2005,Shooter,72,7.8,M
Yoru no Nai Kuni,PS3,2015,Role-Playing,nan,,
Full Spectrum Warrior: Ten Hammers,XB,2006,Strategy,69,tbd,M
Puyo Puyo Tetris,PSV,2014,Puzzle,nan,,
The Sims,PC,2000,Simulation,92,7.9,T
Turok: Dinosaur Hunter,N64,1997,Shooter,nan,,
MiniCopter: Adventure Flight,Wii,2007,Simulation,nan,tbd,E
FIFA Manager 12,PC,2011,Sports,72,3.9,E
Balloon Pop,Wii,2007,Puzzle,nan,tbd,E
Gitaroo Man,PS2,2001,Misc,82,8.7,E
Taiko no Tatsujin Portable 2,PSP,2006,Misc,nan,,
Super Bubble Pop,GC,2003,Puzzle,54,tbd,E
Apassionata: Die Galanacht der Pferde,DS,2009,Simulation,nan,,
Battleship / Connect Four / Sorry! / Trouble,DS,2006,Puzzle,nan,,
Time Travelers,PSV,2012,Adventure,nan,,
Amnesia Later,PSP,2012,Misc,nan,,
World Championship Poker: Featuring Howard Lederer - All In,X360,2006,Misc,nan,,
SpongeBob SquarePants: Plankton's Robotic Revenge,X360,2013,Shooter,nan,6.1,E10+
Crazy Chicken: Atlantis Quest,DS,2007,Platform,nan,,
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,PSV,2011,Adventure,nan,,
Intellivision Lives!,XB,2004,Misc,nan,,
Test Drive Le Mans,PS,1999,Racing,nan,,
Counter Force,Wii,2007,Shooter,nan,tbd,E10+
Centipede: Infestation,3DS,2011,Shooter,nan,tbd,E10+
Cabela's Trophy Bucks,X360,2007,Sports,39,3,T
XCOM 2,XOne,2016,Strategy,87,8.1,T
Yaiba: Ninja Gaiden Z,X360,2014,Action,50,5.3,M
Hero Bank 2,3DS,2014,Role-Playing,nan,,
Rock of the Dead,X360,2010,Shooter,48,4.8,T
Monster Jam: Maximum Destruction,GC,2002,Racing,nan,,
Big Air Freestyle,GC,2002,Racing,56,tbd,T
To Love-Ru Trouble Darkness: Battle Ecstasy,PSV,2014,Action,nan,,
The Lost Treasures of Alexandria,DS,2011,Puzzle,nan,,
Rimo-Cocoron,PS2,2001,Action,nan,,
Mike Tyson Heavyweight Boxing,XB,2002,Sports,37,tbd,T
Code Lyoko,DS,2007,Action,63,6.8,E10+
The Berenstain Bears and the Spooky Old Tree,GBA,2005,Platform,nan,,
12-Sai. Koisuru Diary,3DS,2016,Adventure,nan,,
Pool Party,Wii,2007,Sports,32,0.7,E
Rapala Fishing Frenzy 2009,X360,2008,Sports,41,7.2,E
Hakuouki: Bakumatsu Musou Roku,PSP,2012,Action,nan,,
Hiiro no Kakera DS,DS,2008,Adventure,nan,,
Company of Heroes,PC,2006,Strategy,93,8.8,M
Arcana Famiglia: La storia della Aracana Famiglia,PSP,2011,Adventure,nan,,
Wonder World Amusement Park,Wii,2008,Misc,37,4.5,E
Jonah Lomu Rugby Challenge,PC,2011,Sports,nan,,
Atelier Ayesha: The Alchemist of Dusk,PSV,2014,Role-Playing,nan,,
The Misadventures of Tron Bonne,PS,1999,Adventure,nan,,
Just Dance 2017,PS3,2016,Misc,nan,tbd,E10+
Ride 2,PS4,2016,Racing,71,8,E
Wing Island,Wii,2006,Simulation,47,4.9,E
Silent Hunter: Wolves of the Pacific,PC,2007,Simulation,79,6.9,T
Brave Story: New Traveller (jp sales),PSP,2006,Role-Playing,nan,,
Black Jack vs. Matsudajun,PS,2000,Misc,nan,,
Clever Kids: Creepy Crawlies,DS,2009,Action,nan,,
Wrath Unleashed,XB,2004,Strategy,69,7,T
March of the Penguins,DS,2006,Adventure,34,1.7,E
Professor Heinz Wolff's Gravity,DS,2008,Puzzle,53,tbd,E
Garou Densetsu 3: Road to the Final Victory,SAT,1996,Fighting,nan,,
Lips: Deutsche Partyknaller,X360,2009,Misc,nan,,
Boing! Docomodake DS,DS,2007,Puzzle,nan,,
Bleach: Soul Carnival,PSP,2008,Fighting,nan,,
Double Dragon Advance,GBA,2003,Action,75,8.4,T
Toukiden Kiwami,PSP,2014,Action,nan,,
Gummy Bears Mini Golf,DS,2010,Sports,nan,,
Resident Evil Director's Cut,PS3,2006,Action,nan,,
Color Cross,DS,2008,Misc,72,tbd,E
Sesame Street: Elmo's A-to-Zoo Adventure,PC,2010,Misc,nan,tbd,EC
The Bible Game,XB,2005,Misc,60,2.7,E
Bubble Bobble Revolution,DS,2005,Puzzle,38,6.2,E
Inspector Gadget: Gadget's Crazy Maze,PS,2001,Puzzle,nan,,
World Fantasista,PS2,2002,Sports,nan,,
Yager,XB,2003,Shooter,70,9.3,T
River City Soccer Hooligans,DS,2010,Sports,nan,tbd,T
Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai,DS,2006,Misc,nan,,
Cocoto Kart Racer,DS,2004,Racing,nan,tbd,E
Root Letter,PSV,2016,Adventure,78,7.8,M
Futurama,XB,2003,Platform,58,6.9,T
Supreme Commander,PC,2007,Strategy,86,8.3,E10+
Pool Hall Pro,Wii,2009,Sports,62,5.3,E
Wolfenstein,PC,2009,Shooter,74,7.3,M
Cesar Millan's Dog Whisperer,DS,2008,Simulation,nan,8.6,E
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,2011,Misc,nan,,
Choro Q 64 2: Hacha Mecha Grand Prix Race,N64,1999,Racing,nan,,
Microsoft Train Simulator,PC,2001,Simulation,84,8.4,E
Activision Anthology,GBA,2003,Misc,79,tbd,E
Mahjong 3D: Warriors of the Emperor,3DS,2011,Misc,nan,tbd,E
Wayne Gretzky's 3D Hockey '98,PS,1997,Sports,nan,,
Hakuouki SSL: Sweet School Life,PSV,2014,Adventure,nan,,
Resident Evil 6,XOne,2016,Shooter,63,6.3,M
Max & the Magic Marker,DS,2011,Platform,nan,,
Trigger Man,XB,2004,Shooter,31,tbd,T
Assassin's Creed: Altair's Chronicles,DS,2008,Platform,58,6.3,T
Kimi ni Todoke: Tsutaeru Kimochi,DS,2011,Adventure,nan,,
Nora to Koku no Koubou: Kiri no Mori no Majo,DS,2011,Role-Playing,nan,,
Bad Boys: Miami Takedown,GC,2004,Shooter,35,2,M
Hitman (2016),PS4,2016,Action,nan,,
Short Track Racing: Trading Paint,PS2,2009,Racing,nan,tbd,E
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing,nan,,
Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,39,5.9,T
Galaxy Racers,DS,2010,Racing,nan,tbd,E
Game no Kanzume Vol 1,SCD,1994,Misc,nan,,
Rat Attack!,PS,1999,Puzzle,nan,,
Black Mirror 2,PC,2009,Adventure,nan,,
Pony Friends,DS,2007,Simulation,67,6.6,E
Danny Phantom: Urban Jungle,DS,2006,Action,nan,,
Summon Night Craft Sword Monogatari: Hajimari no Ishi,GBA,2005,Role-Playing,nan,,
Sotsugyou II: Neo Generation,PS,1995,Simulation,nan,,
Forza Motorsport 3: Ultimate Edition,X360,2010,Racing,nan,,
The King of Fighters 2002: Unlimited Match,PS2,2009,Fighting,nan,,
Looney Tunes: Cartoon Conductor,DS,2008,Misc,67,tbd,E
Art of Fighting Anthology,PS2,2006,Fighting,60,7,T
Ford Bold Moves Street Racing,PSP,2006,Racing,52,tbd,E
Sébastien Loeb Rally Evo,PS4,2016,Racing,71,8.1,E
The Tale of Despereaux,Wii,2008,Platform,nan,tbd,E10+
Lux-Pain,DS,2008,Adventure,48,6.2,T
Rapala Trophies,PSP,2006,Sports,nan,tbd,E
Phoenix Wright: Revived Turnabout,DS,2008,Misc,nan,,
Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,2007,Role-Playing,nan,,
Active Life: Magical Carnival,Wii,2011,Misc,nan,tbd,E
National Geographic Panda (US sales),DS,2008,Simulation,nan,,
The Hustle: Detroit Streets,PS2,2006,Sports,46,tbd,T
Tomoyo After: It's a Wonderful Life CS Edition,PSP,2009,Adventure,nan,,
Virtua Fighter CG Portrait Series Vol.6: Lau Chan,SAT,1995,Misc,nan,,
Guilty Gear XX Accent Core,PS2,2007,Fighting,77,8.3,T
Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,DS,2005,Misc,nan,,
Cheer We Go!,DS,2010,Misc,nan,,
Monster High: New Ghoul in School,3DS,2015,Action,nan,tbd,E
Millipede / Super Breakout / Lunar Lander,GBA,2005,Misc,nan,tbd,E
Grey's Anatomy: The Video Game,DS,2009,Adventure,nan,7.5,T
Mafia,PC,2002,Action,88,9.1,M
Disney's Donald Duck: Goin' Quackers,GC,2002,Platform,61,3,E
World Trigger: Borderless Mission,PSV,2015,Action,nan,,
Assault Rigs,PS,1996,Action,nan,,
Yes! PreCure 5,DS,2007,Action,nan,,
Operation Flashpoint: Elite,XB,2005,Shooter,64,8.3,T
Candace Kane's Candy Factory,DS,2008,Action,nan,tbd,E
Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,35,4.8,E10+
Nanda's Island,DS,2009,Puzzle,nan,tbd,E
Virtua Tennis 3,X360,2007,Sports,80,6.8,E
"Roswell Conspiracies: Aliens, Myths & Legends",PS,2001,Action,nan,,
Front Mission,DS,2007,Strategy,72,8.9,E10+
Sushi Go-Round,DS,2010,Simulation,nan,tbd,E
World Championship Spelling,DS,2010,Misc,nan,tbd,E
Sekai no Gohan Shaberu! DS Oryouri Navi,DS,2008,Misc,nan,,
Tropico 3,PC,2009,Strategy,79,8.1,T
Boktai 2: Solar Boy Django,GBA,2004,Role-Playing,78,8.5,T
Life is Strange,PC,2016,Adventure,83,8.6,M
Angelique Duet,PS,1998,Strategy,nan,,
Nobunaga's Ambition (3DS),3DS,2013,Simulation,nan,,
Jewel Master: Cradle Of Rome 2,PC,2011,Puzzle,nan,,
Shin Fortune Quest: Sokutaku no Kishi,PS,1996,Misc,nan,,
Tsumiki: Block Drop Mania,DS,2007,Action,nan,tbd,E
Crushed Baseball,GBA,2004,Sports,nan,tbd,E
Dark Arena,GBA,2002,Shooter,65,tbd,T
Kamen Rider: Battride War Genesis,PS3,2016,Action,nan,,
Heatseeker,PSP,2007,Action,49,tbd,T
Family Fortunes,DS,2009,Misc,nan,,
TOCA Race Driver 2,XB,2004,Racing,nan,8.3,T
My Body Coach,Wii,2009,Sports,nan,,
Shaun the Sheep,DS,2008,Adventure,58,tbd,E
Battlezone,PS4,2016,Action,66,7,T
I.Q. Remix+: Intelligent Qube,PS2,2000,Puzzle,nan,,
Growlanser,PSP,2009,Role-Playing,nan,,
Card Fight!! Vanguard G: Stride to Victory!!,3DS,2016,Misc,nan,,
Trollz: Hair Affair!,GBA,2005,Misc,nan,,
Daito Giken Koushiki Pachi-Slot Simulator: Shake II,PS2,2007,Misc,nan,,
Grand Slam,PS,1997,Misc,nan,,
Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,DS,2009,Action,nan,,
The King of Fighters 2000,PS2,2002,Fighting,nan,,
Hyperdimension Neptunia mk2,PSV,2014,Action,nan,,
Pro Evolution Soccer 2016,PC,2015,Sports,76,4.3,E
The Dark Spire,DS,2008,Role-Playing,69,7.7,E10+
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,55,6,T
Puyo Puyo Tetris,PS3,2014,Puzzle,nan,,
D.C.F.S.: Da Capo Four Seasons,PS2,2005,Adventure,nan,,
RollerCoaster Tycoon,PC,nan,Strategy,nan,,E
Runaway: A Twist of Fate,PC,2009,Adventure,79,8.2,T
Disney's Meet the Robinsons,GC,2007,Action,68,tbd,E10+
Hanayori Danshi: Koi Seyo Onago,DS,2008,Adventure,nan,,
Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,Action,nan,,
Minna ga Shuyaku no NHK Kouhaku Quiz Kassen,Wii,2009,Misc,nan,,
Disney Planes Fire & Rescue,Wii,2014,Action,nan,,
Sonic the Hedgehog 2 (8-bit),GG,1992,Platform,nan,,
FlatOut 2,XB,2006,Racing,73,7.3,T
Gem Smashers,3DS,2011,Platform,nan,tbd,E
Rogue Trooper,PS2,2006,Shooter,71,8.2,T
Backyard Baseball '09,Wii,2008,Sports,37,7.8,E
Spy Fiction,PS2,2003,Action,61,tbd,M
Justice League: Chronicles,GBA,2003,Platform,43,tbd,E
Tom Clancy's HAWX,PC,2009,Action,70,7.3,T
Enemy Front,X360,2014,Shooter,35,5.8,M
Doko Demo Issho: Let's Gakkou!,PSP,2006,Misc,nan,,
Conflict: Desert Storm II - Back to Bagdhad,GC,2004,Shooter,nan,,
Honda ATV Fever,Wii,2010,Racing,nan,tbd,E
Top Gun,DS,2006,Simulation,48,tbd,E10+
M&M's Beach Party,Wii,2009,Misc,nan,,
B's-LOG Party♪,PSP,2010,Adventure,nan,,
King Arthur,GC,2004,Action,60,tbd,T
Chicken Shoot,GBA,2005,Action,nan,,
Shantae and the Pirate's Curse,3DS,2015,Platform,82,8.5,E10+
Yowamushi Pedal,3DS,2015,Action,nan,,
Dai Senryaku VII: Modern Military Tactics,XB,2003,Strategy,74,8.8,E
White Album 2: Shiawase no Mukougawa,PS3,2012,Adventure,nan,,
Monster Trux Arenas: Special Edition,Wii,2007,Racing,nan,,
Avatar: The Game,PC,2009,Action,nan,,
Go Go Ackman 3,SNES,1995,Platform,nan,,
Advance Guardian Heroes,GBA,2004,Role-Playing,65,tbd,E
Castle of Shikigami III,Wii,2007,Shooter,67,7.6,T
Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,80,8.1,T
FIFA Street 2,DS,2006,Sports,43,7.5,E
Star X,GBA,2002,Shooter,60,tbd,E
City Life: World Edition,PC,2007,Simulation,75,8.2,E
The King of Fighters Kyo,PS,1998,Fighting,nan,,
Record of Agarest War: Marriage,PSP,2012,Role-Playing,nan,,
San-X Land: Theme Park de Asobou!,DS,2006,Action,nan,,
Corpse Party: Book of Shadows,PSP,2011,Adventure,67,8.2,M
428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,nan,,
Starry ? Sky: After Spring,PSP,2009,Misc,nan,,
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,PS2,2006,Adventure,nan,,
Mechanic Escape,PS3,2012,Platform,nan,,
Battle vs. Chess,PS3,nan,Misc,nan,,T
Naruto Shippuden: Dairansen! Kage Bunshin Emaki,DS,2008,Action,nan,,
WarTech: Senko no Ronde,X360,2006,Fighting,60,6.1,T
Twilight Syndrome: Kinjiratera Toshi Densetsu,DS,2008,Adventure,nan,,
True Love Story 3,PS2,2001,Simulation,nan,,
Jerry Rice and Nitus' Dog Football,Wii,2011,Sports,nan,,
Little Battlers eXperience W,PSV,2012,Role-Playing,nan,,
The Smurfs,PS,1998,Action,nan,,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,X360,2016,Action,nan,4.3,T
Strike Force Bowling,XB,2004,Sports,54,tbd,E
IL-2 Sturmovik: 1946,PC,2006,Simulation,86,8.8,T
Chessmaster,GBA,2002,Misc,76,tbd,E
Blood Will Tell: Tezuka Osamu's Dororo,PS2,2004,Adventure,nan,,
Coraline,DS,2009,Action,nan,tbd,E
Red Ninja: End of Honor,PS2,2005,Action,47,5,M
Praetorians,PC,2003,Strategy,78,8.2,T
Kids Learn Music A+ Edition,DS,2011,Misc,nan,,
The Wolf Among Us,PSV,2014,Adventure,nan,8.4,M
Smash Court Tennis 3,PSP,2007,Sports,68,6.3,E
Kanuchi: Shiroki Tsubasa no Shou,PS2,2008,Adventure,nan,,
SX Superstar,XB,2003,Racing,53,tbd,T
Katekyoo Hitman Reborn! Battle Arena,PSP,2008,Fighting,nan,,
LEGO Friends,3DS,2013,Action,43,8.3,E
Saint Seiya: The Hades,PS2,2006,Fighting,nan,,
Saki Portable,PSP,2010,Adventure,nan,,
Naruto Shippuuden: Shinobi Retsuden III,DS,2009,Action,nan,,
Guild Wars Trilogy,PC,2005,Role-Playing,nan,8.8,T
SPRay,Wii,2008,Action,42,4.5,E10+
Outlaw Tennis,XB,2005,Sports,66,7.7,M
Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,PS3,2013,Simulation,nan,,
Saint Seiya: Soldiers' Soul,PS3,2015,Fighting,nan,6.3,T
Nike+ Kinect Training,X360,2012,Sports,nan,,
No Rules: Get Phat,GBA,2001,Action,nan,,
Star Ocean 5: Integrity and Faithlessness,PS3,2016,Role-Playing,nan,,
Brothers: A Tale of Two Sons,XOne,2015,Adventure,81,8.9,T
NHL Legacy,PS3,2015,Action,nan,,
Battle Rage,Wii,2008,Shooter,nan,,
Attack of the Movies 3D,X360,2010,Shooter,38,1.7,T
The History Channel: Great Battles - Medieval,PS3,nan,Strategy,nan,,
Igor: The Game,DS,2008,Adventure,43,tbd,E
Zombi Daisuki,DS,2011,Action,nan,,
Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,3DS,2014,Action,nan,,
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,2006,Adventure,nan,,
Sea Monsters: A Prehistoric Adventure,Wii,2007,Adventure,nan,tbd,E10+
Get Up and Dance,PS3,2011,Misc,nan,tbd,T
Secret Files: Tunguska,PC,2006,Adventure,66,7.4,T
The Monkey King: The Legend Begins,Wii,2007,Shooter,nan,tbd,E
The Invincible Iron Man,GBA,2002,Action,68,tbd,E
NASCAR 07,XB,2006,Racing,72,7,E
Dance Dance Revolution Disney Mix,PS,2000,Simulation,74,8.3,E
Casual Mania!,DS,2010,Puzzle,nan,tbd,E
Maken Shao: Demon Sword,PS2,2001,Action,nan,,
Scaler,XB,2004,Platform,69,tbd,E
Super Robot Taisen OG Infinite Battle,PS3,2013,Fighting,nan,,
BeatMania IIDX 16: Empress + Premium Best,PS2,2009,Simulation,nan,,
Emergency Room: Real Life Rescues,DS,2009,Simulation,nan,tbd,T
FIFA Soccer 2003 (weekly jp sales),PS2,2002,Sports,nan,,
High Heat Baseball 2002,PS,2001,Sports,nan,,
Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015,Fighting,70,6.9,T
Puyo Pop Fever,PSP,2004,Puzzle,68,,
Thrillville: Off the Rails,DS,2007,Strategy,59,6.2,E
Hana to Ikimo no Rittai Zukan,3DS,2011,Misc,nan,,
Bloody Roar Extreme,XB,2003,Fighting,61,8.6,T
Clockwork Empires,PC,nan,Strategy,58,3.8,RP
Split/Second,PC,2010,Racing,79,8.2,E10+
Tennis Masters Series 2003,XB,2002,Sports,67,tbd,E
Resident Evil 6,PC,2012,Shooter,69,5.9,M
Amagami,PSV,2014,Adventure,nan,,
Dead Head Fred,PSP,2007,Action,75,7.3,M
MLB SlugFest 20-04,GC,2003,Sports,76,tbd,E
Pocket Pool,PSP,2007,Action,37,tbd,M
Jissen Pachislot Hisshouhou! Hokuto no Ken DS,DS,2005,Misc,nan,,
Lise no Atelier: Ordre no Renkinjutsushi,DS,2007,Role-Playing,nan,,
Myth Makers: Trixie in Toyland,Wii,2008,Platform,nan,0.2,E
Arcana Heart 3,PSV,2014,Fighting,nan,,
Torino 2006,XB,2006,Sports,nan,,
Amnesia,PSP,2011,Adventure,nan,,
Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch,DS,2006,Misc,nan,,
Metal Slug 4 & 5,XB,2005,Shooter,nan,,
Great Battle Full Blast,PSP,2012,Action,nan,,
Ride to Hell,PS3,2013,Racing,13,1,M
Need for Speed: ProStreet,PC,2007,Racing,70,5.9,E10+
Digimon Rumble Arena 2,GC,2004,Fighting,71,8.1,T
NCIS,PC,2011,Adventure,nan,tbd,T
Doki Doki! PreCure Narikiri Life!,3DS,2013,Action,nan,,
Gravity Falls: Legend of the Gnome Gemulets,3DS,2015,Action,46,5.8,E
Rodea the Sky Soldier,3DS,2015,Action,45,5.6,E10+
Major League Baseball 2K12,PC,2012,Sports,nan,5.7,E
Watashi no Relaxuma,DS,2007,Simulation,nan,,
Phantom Kingdom Portable,PSP,2011,Role-Playing,nan,,
Pac-Man World Rally,PSP,2006,Racing,51,tbd,E
Way of the Samurai 2 Portable,PSP,2009,Action,nan,,
Challenge Me: Maths Workout,DS,2009,Puzzle,nan,,
Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou,DS,2008,Misc,nan,,
Hellboy: The Science of Evil,PSP,2008,Action,42,7.1,T
Mortimer Beckett and the Secrets of Spooky Manor,Wii,2008,Puzzle,56,tbd,E
Little Busters! Converted Edition,PSP,2010,Adventure,nan,,
Unison: Rebels of Rhythm & Dance,PS2,2000,Misc,nan,,
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,PS2,2007,Sports,nan,,
WTF: Work Time Fun,PSP,2005,Puzzle,nan,,
The Sims Deluxe,PC,2002,Simulation,92,8.2,T
Fashion Week Jr. Designer,DS,2009,Simulation,nan,tbd,E
B.L.U.E.: Legend of Water,PS,nan,Adventure,nan,,
Dark Half,SNES,1996,Role-Playing,nan,,
Horses 3D,3DS,2012,Misc,nan,6.3,E
LEGO Indiana Jones: The Original Adventures,PC,2008,Action,78,7.7,E10+
Bullet Girls 2,PSV,2016,Action,nan,,
The Sims 2: Pets,PC,2006,Simulation,76,7.7,T
Deadliest Warrior: Ancient Combat,X360,2012,Fighting,37,6.3,M
Zoo Quest: Puzzle Fun!,DS,2008,Puzzle,nan,,
Civilization Beyond Earth: Rising Tide,PC,2015,Strategy,nan,,
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,DS,2008,Simulation,nan,,
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PSV,2016,Misc,nan,,
Shukufuku no Campanella Portable,PSP,2010,Adventure,nan,,
The Kore Gang,Wii,2010,Platform,70,8.6,E10+
National Geographic Challenge!,PS3,2011,Misc,nan,,
Duke Nukem Trilogy: Critical Mass,DS,2011,Shooter,nan,,
Beastly Frantic Foto,DS,2011,Puzzle,nan,tbd,E
Chaos;Head - Love Chu*Chu!,PSP,2011,Adventure,nan,,
Yourself Fitness,PS2,2005,Sports,nan,,
Rugby Challenge 3,PS4,2016,Sports,64,6.8,E
Dungeon Raiders,DS,2009,Role-Playing,nan,tbd,E10+
Romance of the Three Kingdoms 13,PS3,2015,Action,nan,,
Blood Bowl,PC,2009,Sports,72,6.5,T
Port Royale 2,PC,2004,Strategy,75,7.7,T
